Simulation_Setup,Mean_Detection,Mean_Costs,Mean_Runs
Threat_Net,51.46666666666667,492570.0,210.5
Random_Testing,50.53164556962025,364548.6,155.79
Ideal_Testing,41.4,236340.0,101.0
