Day,Mean_Infections
100,4.0
100,4.0
100,4.0
100,4.52
100,7.0
100,12.34
100,18.4
100,23.64
100,30.96
100,40.54
100,57.02
100,79.32
100,109.12
100,146.7
100,193.74
100,261.02
100,347.16
100,459.02
100,600.64
100,780.68
100,1019.58
100,1303.72
100,1629.0
100,2000.62
100,2411.88
100,2841.56
100,3277.88
100,3699.44
100,4083.06
100,4422.96
100,4728.74
100,4998.14
100,5242.9
100,5468.38
100,5682.14
100,5894.94
100,6099.36
100,6304.04
100,6505.86
100,6701.74
100,6891.4
100,7067.58
100,7238.76
100,7401.92
100,7560.66
100,7709.84
100,7853.08
100,7990.38
100,8124.22
100,8254.22
100,8379.28
100,8506.12
100,8627.68
100,8744.96
100,8859.36
100,8972.16
100,9082.58
100,9191.2
100,9296.68
100,9397.68
100,9499.72
100,9599.72
100,9697.1
100,9795.24
100,9890.48
100,9984.04
100,10074.52
100,10162.06
100,10254.02
100,10343.2
100,10431.06
100,10515.72
100,10599.32
100,10683.14
100,10765.8
100,10847.72
100,10925.7
100,11005.42
100,11086.9
100,11166.38
100,11243.98
100,11321.34
100,11399.64
100,11476.4
100,11549.64
100,11623.32
100,11697.7
100,11771.96
100,11845.94
100,11917.3
100,11987.84
100,12057.14
100,12129.12
100,12197.84
100,12268.24
100,12337.76
100,12405.0
100,12472.74
100,12540.46
100,12606.68
100,12672.3
