Day,Mean_Infections
100,4.0
100,26.96
100,153.48
100,756.82
100,2440.0
100,3602.52
100,3692.84
100,3696.34
100,3697.3
100,3697.92
100,3698.62
100,3700.22
100,3703.68
100,3717.38
100,3758.2
100,3836.72
100,3902.18
100,3956.18
100,3985.66
100,3990.76
100,3992.86
100,3995.68
100,4001.82
100,4017.5
100,4053.3
100,4116.5
100,4187.32
100,4240.64
100,4269.44
100,4279.14
100,4284.24
100,4290.3
100,4302.04
100,4327.54
100,4368.26
100,4419.2
100,4473.74
100,4524.42
100,4559.34
100,4571.98
100,4579.3
100,4588.36
100,4604.92
100,4634.24
100,4670.2
100,4720.04
100,4784.32
100,4833.66
100,4856.06
100,4868.08
100,4879.86
100,4895.4
100,4919.46
100,4950.0
100,4989.66
100,5042.88
100,5098.42
100,5133.24
100,5150.4
100,5163.38
100,5179.62
100,5202.78
100,5234.16
100,5271.24
100,5318.74
100,5370.96
100,5409.6
100,5430.52
100,5443.78
100,5459.06
100,5481.74
100,5513.4
100,5550.42
100,5591.9
100,5639.86
100,5683.9
100,5711.88
100,5730.7
100,5748.08
100,5770.62
100,5801.0
100,5834.8
100,5870.66
100,5914.46
100,5958.82
100,5992.02
100,6014.58
100,6035.46
100,6058.9
100,6087.16
100,6117.68
100,6153.5
100,6196.44
100,6238.9
100,6274.04
100,6298.04
100,6319.5
100,6342.34
100,6369.58
100,6401.76
100,6439.4
